Healthy Church Questionnaire,,
On a scale of 1-10 (1 being the lowest and 10 being the highest) how would you rank each category below?,,
Biblical Worship,,Rating
,"To what extent would the corporate worship of your church be defined as in ""spirit and truth""? (John 4:24)",9
,"To what extent would the individual worship of the members of your church be defined as being a ""living sacrifice"" who is no longer conformed to the pattern of this world? (Rom. 12:1-2)",9
,"To what extent does the worship of your church cause each member to ""Let the word of Christ dwell in you richly, teaching and admonishing one another in all wisdom, singing psalms and hymns and spiritual songs, with thankfulness in your hearts to God."" (Col. 3:16)",8
,Overall: To what extent does the corporate and individual worship of your church focus your attention on Jesus? ,8
,Sub-total,85.00
Biblical Prayer,,
,Rate your church's devotion to prayer. (i.e. Acts 2:42) ,8
,"Rate your church's prayer. How well does it conform to ""praying at all times in the Spirit, with all prayer and supplication."" (Eph. 6:18)",7
,"Rate how well your church's prayers promotes unity, orderliness and the building up of others. (1 Cor. 14:26-33)",7
,"Rate the balance of your prayers along 5 key aspects: Praise, Thanksgiving, Confession, Requests and Intercession. (1 Jn 1:9,
Phil. 4:6-7, Ps.135:3, 1 Thess. 5:18, 1 Tim. 2:1)",8
,How often does your church pray for the lost and your evangelistic efforts? (Col. 4:2-6),7
,"Overall: How much would your church be known as a ""praying church'?",9
,Sub-total,76.67
Biblical Giving,,
,What percentage of the members of your church tithe on a regular basis?,8
,"What percentage of the members of your church give sacrificially and cheerfully for the expansion of God's kingdom? (2 Cor. 8:1-5, 9:7-8)",7
,"What percentage of your churches funds and time are spent on ministries outside of your church such as missions, orphan care, ministries to the poor? (2 Cor. 9:9-15, Acts 20:35)",8
,"How ""transparent"" are the financial matters of your church held? (i.e. Acts 5:1-11)",9
,How well do the leaders model generous giving for the church? (i.e. 1 Chron. 29:6-9),8
,"Overall: How much would your church be known as a ""giving and generous church'?",6
,Sub-total,76.67
Biblical Mission,,
,"To what extent would the Great Commission to ""make disciples of all nations"" define the focus of the activity of your church? (Matt. 28:19-20)",3
,"What percentage of your churches funds, time, energy and membership goes towards fulfilling the Great Commission?",3
,"To what extent does your church ""become all things to all people"" in the hopes of reaching diverse people groups? (1 Cor. 9:22-23)",7
,"To what extent is your church focused on doing the good works that God has called your church to do, by the power of the Holy Spirit, for the glory of His name? (2 Thess. 1:11-12)",7
,How well can each member of your church communicate God's purpose for the mission of the church AND live by it?,5
,"Overall: How much would your church be known as a ""missional church'?",5
,Sub-total,50.00
Biblical Evangelism,,
,What percentage of the membership of your church shares the gospel on a regular basis?,6
,"What percentage of your church has been equipped to both understand and accurately communicate the gospel with anyone, anywhere and any time?  (Eph. 4:12, i.e. Acts 11:19-21)",7
,"To what extent would the members of your church think of evangelism as ""normal"" and are ready to share? (Eph. 6:15)",7
,To what extent would you rate the passion about gospel proclamation of your church as you strive side-by-side as one man for the gospel? (Phil. 1:27),8
,"To what extent do the members of your church not only verbally share the gospel, but also share their very lives and live a life worthy of it? (Phil. 1:27, 1 Thess. 2:8)",4
,"What percentage of your church membership is willing to boldly share the gospel amidst persecution and suffering? (1 Thess. 2:2-4, 2 Tim.1:8)",6
,"Overall: How much would your church be known as an ""evangelistic church'?",6
,Sub-total,62.86
Biblical Discipleship,,
,How intentional is your church in making disciples? (Matt. 28:20),3
,To what extent do the members of your church obey God's commands and will? (Matt. 28:20),4
,To what extent do the members of your church abide in God's word? (Jn. 8:31),3
,To what extent do the members of your church abide in Christ? (Jn 15:5),4
